IQ Hedge Event-Driven Tracker ETF
Daily Prices Since Inception

Date, NAV
03/12/2019, 20.8596817
03/11/2019, 20.8304605
03/08/2019, 20.7462962
03/07/2019, 20.77168415
03/06/2019, 20.8057905
03/05/2019, 20.8826797
03/04/2019, 20.89889065
03/01/2019, 20.94241
02/28/2019, 20.888
02/27/2019, 20.92083113
02/26/2019, 20.8923522
02/25/2019, 20.89179007
02/22/2019, 20.85904487
02/21/2019, 20.76853527
02/20/2019, 20.7868956
02/19/2019, 20.7721
02/15/2019, 20.74874193
02/14/2019, 20.67367153
02/13/2019, 20.660006
02/12/2019, 20.66572513
02/11/2019, 20.56770893
02/08/2019, 20.55146867
02/07/2019, 20.53846107
02/06/2019, 20.61723887
02/05/2019, 20.59774273
02/04/2019, 20.54051007
02/01/2019, 20.4849858
01/31/2019, 20.47419447
01/30/2019, 20.41032713
01/29/2019, 20.2683358
01/28/2019, 20.28629633
01/25/2019, 20.32535187
01/24/2019, 20.26339547
01/23/2019, 20.2172114
01/22/2019, 20.20103467
01/18/2019, 20.322043
01/17/2019, 20.25305527
01/16/2019, 20.18262433
01/15/2019, 20.15309493
01/14/2019, 20.08795367
01/11/2019, 20.17073107
01/10/2019, 20.19572027
01/09/2019, 20.14728127
01/08/2019, 20.10254673
01/07/2019, 19.98314313
01/04/2019, 19.7879688
01/03/2019, 19.50187947
01/02/2019, 19.55764953
12/31/2018, 19.56230433
12/28/2018, 19.53512513
12/27/2018, 19.534807
12/26/2018, 20.3768734
12/24/2018, 20.04674947
12/21/2018, 20.17811367
12/20/2018, 20.31572567
12/19/2018, 20.4622644
12/18/2018, 20.62004513
12/17/2018, 20.64237627
12/14/2018, 20.80648753
12/13/2018, 20.90077926
12/12/2018, 20.90019213
12/11/2018, 20.85164839
12/10/2018, 20.85871261
12/07/2018, 20.85367284
12/06/2018, 21.00419291
12/04/2018, 21.03152252
12/03/2018, 21.20819148
11/30/2018, 21.08527763
11/29/2018, 21.0575
11/28/2018, 21.07723829
11/27/2018, 20.93362104
11/26/2018, 20.95839508
11/23/2018, 20.85275871
11/21/2018, 20.87505623
11/20/2018, 20.80801268
11/19/2018, 20.90348138
11/16/2018, 21.04176019
11/15/2018, 21.07589103
11/14/2018, 21.01071146
11/13/2018, 21.0255133
11/12/2018, 21.03825674
11/09/2018, 21.16716042
11/08/2018, 21.26360084
11/07/2018, 21.31582269
11/06/2018, 21.19444137
11/05/2018, 21.15423064
11/02/2018, 21.15671222
11/01/2018, 21.17139319
10/31/2018, 21.03313878
10/30/2018, 20.98273825
10/29/2018, 20.90370631
10/26/2018, 20.94387164
10/25/2018, 21.03139379
10/24/2018, 20.95515597
10/23/2018, 21.12448344
10/22/2018, 21.15208159
10/19/2018, 21.12724709
10/18/2018, 21.18402857
10/17/2018, 21.28793801
10/16/2018, 21.31845974
10/15/2018, 21.17444737
10/12/2018, 21.18644209
10/11/2018, 21.09374071
10/10/2018, 21.12202992
10/09/2018, 21.29827174
10/08/2018, 21.31919361
10/05/2018, 21.38292558
10/04/2018, 21.45260152
10/03/2018, 21.5597266
10/02/2018, 21.56769008
10/01/2018, 21.60248892
09/28/2018, 21.60867468
09/27/2018, 21.60376477
09/26/2018, 21.57450317
09/25/2018, 21.58238505
09/24/2018, 21.570025
09/21/2018, 21.57720242
09/20/2018, 21.59832974
09/19/2018, 21.54298838
09/18/2018, 21.55896161
09/17/2018, 21.5404826
09/14/2018, 21.61348438
09/13/2018, 21.58708669
09/12/2018, 21.55512483
09/11/2018, 21.51988667
09/10/2018, 21.50662189
09/07/2018, 21.48424091
09/06/2018, 21.50173666
09/05/2018, 21.52839188
09/04/2018, 21.59390544
08/31/2018, 21.60763915
08/30/2018, 21.58256785
08/29/2018, 21.6044777
08/28/2018, 21.58718555
08/27/2018, 21.5954553
08/24/2018, 21.54577856
08/23/2018, 21.49677602
08/22/2018, 21.50605536
08/21/2018, 21.47650922
08/20/2018, 21.43137686
08/17/2018, 21.40673802
08/16/2018, 21.38341011
08/15/2018, 21.35168639
08/14/2018, 21.41259372
08/13/2018, 21.399378
08/10/2018, 21.42282678
08/09/2018, 21.45418517
08/08/2018, 21.45188619
08/07/2018, 21.46577756
08/06/2018, 21.43533623
08/03/2018, 21.40266452
08/02/2018, 21.40236145
08/01/2018, 21.36287025
07/31/2018, 21.34899721
07/30/2018, 21.30015893
07/27/2018, 21.35809975
07/26/2018, 21.43863934
07/25/2018, 21.41237232
07/24/2018, 21.34672729
07/23/2018, 21.37280711
07/20/2018, 21.38521597
07/19/2018, 21.39642442
07/18/2018, 21.40358298
07/17/2018, 21.40014933
07/16/2018, 21.35706569
07/13/2018, 21.38880661
07/12/2018, 21.39420284
07/11/2018, 21.32161206
07/10/2018, 21.37069673
07/09/2018, 21.38504823
07/06/2018, 21.34924561
07/05/2018, 21.26774688
07/03/2018, 21.18664582
07/02/2018, 21.19607543
06/29/2018, 21.17223405
06/28/2018, 21.19231258
06/27/2018, 21.17519303
06/26/2018, 21.26200439
06/25/2018, 21.24084306
06/22/2018, 21.37304425
06/21/2018, 21.39405664
06/20/2018, 21.46159226
06/19/2018, 21.42328718
06/18/2018, 21.45301305
06/15/2018, 21.45335658
06/14/2018, 21.45211012
06/13/2018, 21.39621616
06/12/2018, 21.42057233
06/11/2018, 21.37035233
06/08/2018, 21.34441484
06/07/2018, 21.33107353
06/06/2018, 21.36158119
06/05/2018, 21.3249221
06/04/2018, 21.29103126
06/01/2018, 21.25971527
05/31/2018, 21.19665316
05/30/2018, 21.25101073
05/29/2018, 21.18802275
05/25/2018, 21.20125892
05/24/2018, 21.19680389
05/23/2018, 21.17780248
05/22/2018, 21.15100899
05/21/2018, 21.18299498
05/18/2018, 21.14128326
05/17/2018, 21.13837174
05/16/2018, 21.14807128
05/15/2018, 21.10969607
05/14/2018, 21.15747115
05/11/2018, 21.15447024
05/10/2018, 21.16554363
05/09/2018, 21.12240158
05/08/2018, 21.08439864
05/07/2018, 21.07829554
05/04/2018, 21.01584189
05/03/2018, 20.95464377
05/02/2018, 20.94830168
05/01/2018, 20.94131519
04/30/2018, 20.92639976
04/27/2018, 20.9551875
