Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares Merger ETF,MRGR,37.27,37.27,0.00000,0,150,5590537.27
03/12/2019,ProShares Merger ETF,MRGR,37.27,37.24,0.08056,0.03,150,5590537.27
03/11/2019,ProShares Merger ETF,MRGR,37.24,37.18,0.16138,0.06,150,5586037.24
03/08/2019,ProShares Merger ETF,MRGR,37.18,37.19,-0.02689,-0.01,150,5577037.18
03/07/2019,ProShares Merger ETF,MRGR,37.19,37.18,0.02690,0.01,150,5578537.19
03/06/2019,ProShares Merger ETF,MRGR,37.18,37.21,-0.08062,-0.03,150,5577037.18
03/05/2019,ProShares Merger ETF,MRGR,37.21,37.14,0.18848,0.07,150,5581537.21
03/04/2019,ProShares Merger ETF,MRGR,37.14,37.14,0.00000,0,150,5571037.14
03/01/2019,ProShares Merger ETF,MRGR,37.14,37.05,0.24291,0.09,150,5571037.14
02/28/2019,ProShares Merger ETF,MRGR,37.05,37.2,-0.40323,-0.15,150,5557537.05
02/27/2019,ProShares Merger ETF,MRGR,37.2,37.19,0.02689,0.01,150,5580037.2
02/26/2019,ProShares Merger ETF,MRGR,37.19,37.21,-0.05375,-0.02,150,5578537.19
02/25/2019,ProShares Merger ETF,MRGR,37.21,37.17,0.10761,0.04,150,5581537.21
02/22/2019,ProShares Merger ETF,MRGR,37.17,37.25,-0.21477,-0.08,150,5575537.17
02/21/2019,ProShares Merger ETF,MRGR,37.25,37.25,0.00000,0,150,5587537.25
02/20/2019,ProShares Merger ETF,MRGR,37.25,37.23,0.05372,0.02,150,5587537.25
02/19/2019,ProShares Merger ETF,MRGR,37.23,37.23,0.00000,0,150,5584537.23
02/15/2019,ProShares Merger ETF,MRGR,37.23,37.21,0.05375,0.02,150,5584537.23
02/14/2019,ProShares Merger ETF,MRGR,37.21,37.19,0.05378,0.02,150,5581537.21
02/13/2019,ProShares Merger ETF,MRGR,37.19,37.19,0.00000,0,150,5578537.19
02/12/2019,ProShares Merger ETF,MRGR,37.19,37.17,0.05381,0.02,150,5578537.19
02/11/2019,ProShares Merger ETF,MRGR,37.17,37.2,-0.08065,-0.03,150,5575537.17
02/08/2019,ProShares Merger ETF,MRGR,37.2,37.13,0.18853,0.07,150,5580037.2
02/07/2019,ProShares Merger ETF,MRGR,37.13,37.11,0.05389,0.02,150,5569537.13
02/06/2019,ProShares Merger ETF,MRGR,37.11,37.13,-0.05386,-0.02,150,5566537.11
02/05/2019,ProShares Merger ETF,MRGR,37.13,37.09,0.10785,0.04,150,5569537.13
02/04/2019,ProShares Merger ETF,MRGR,37.09,37.15,-0.16151,-0.06,150,5563537.09
02/01/2019,ProShares Merger ETF,MRGR,37.15,37.17,-0.05381,-0.02,150,5572537.15
01/31/2019,ProShares Merger ETF,MRGR,37.17,37.1,0.18868,0.07,150,5575537.17
01/30/2019,ProShares Merger ETF,MRGR,37.1,37.06,0.10793,0.04,150,5565037.1
01/29/2019,ProShares Merger ETF,MRGR,37.06,37.09,-0.08088,-0.03,150,5559037.06
01/28/2019,ProShares Merger ETF,MRGR,37.09,37.24,-0.40279,-0.15,150,5563537.09
01/25/2019,ProShares Merger ETF,MRGR,37.24,37.06,0.48570,0.18,150,5586037.24
01/24/2019,ProShares Merger ETF,MRGR,37.06,37.05,0.02699,0.01,150,5559037.06
01/23/2019,ProShares Merger ETF,MRGR,37.05,37,0.13514,0.05,150,5557537.05
01/22/2019,ProShares Merger ETF,MRGR,37,37,0.00000,0,150,5550037
01/18/2019,ProShares Merger ETF,MRGR,37,37.03,-0.08102,-0.03,150,5550037
01/17/2019,ProShares Merger ETF,MRGR,37.03,37.05,-0.05398,-0.02,150,5554537.03
01/16/2019,ProShares Merger ETF,MRGR,37.05,37.04,0.02700,0.01,150,5557537.05
01/15/2019,ProShares Merger ETF,MRGR,37.04,37.01,0.08106,0.03,150,5556037.04
01/14/2019,ProShares Merger ETF,MRGR,37.01,37.03,-0.05401,-0.02,150,5551537.01
01/11/2019,ProShares Merger ETF,MRGR,37.03,37,0.08108,0.03,150,5554537.03
01/10/2019,ProShares Merger ETF,MRGR,37,37,0.00000,0,150,5550037
01/09/2019,ProShares Merger ETF,MRGR,37,36.98,0.05408,0.02,150,5550037
01/08/2019,ProShares Merger ETF,MRGR,36.98,36.95,0.08119,0.03,150,5547036.98
01/07/2019,ProShares Merger ETF,MRGR,36.95,36.91,0.10837,0.04,150,5542536.95
01/04/2019,ProShares Merger ETF,MRGR,36.91,36.81,0.27167,0.1,150,5536536.91
01/03/2019,ProShares Merger ETF,MRGR,36.81,36.93,-0.32494,-0.12,150,5521536.81
01/02/2019,ProShares Merger ETF,MRGR,36.93,36.97,-0.10820,-0.04,150,5539536.93
12/31/2018,ProShares Merger ETF,MRGR,36.97,36.87,0.27122,0.1,150,5545536.97
12/28/2018,ProShares Merger ETF,MRGR,36.87,36.88,-0.02711,-0.01,150,5530536.87
12/27/2018,ProShares Merger ETF,MRGR,36.88,36.91,-0.08128,-0.03,150,5532036.88
12/26/2018,ProShares Merger ETF,MRGR,36.91,36.67,0.65449,0.24,150,5536536.91
12/24/2018,ProShares Merger ETF,MRGR,36.67,36.75,-0.21769,-0.08,150,5500536.67
12/21/2018,ProShares Merger ETF,MRGR,36.75,36.77,-0.05439,-0.02,150,5512536.75
12/20/2018,ProShares Merger ETF,MRGR,36.77,36.81,-0.10867,-0.04,150,5515536.77
12/19/2018,ProShares Merger ETF,MRGR,36.81,36.79,0.05436,0.02,150,5521536.81
12/18/2018,ProShares Merger ETF,MRGR,36.79,36.82,-0.08148,-0.03,150,5518536.79
12/17/2018,ProShares Merger ETF,MRGR,36.82,36.97,-0.40573,-0.15,150,5523036.82
12/14/2018,ProShares Merger ETF,MRGR,36.97,37.06,-0.24285,-0.09,125,4621286.97
12/13/2018,ProShares Merger ETF,MRGR,37.06,37.01,0.13510,0.05,125,4632537.06
12/12/2018,ProShares Merger ETF,MRGR,37.01,36.94,0.18950,0.07,125,4626287.01
12/11/2018,ProShares Merger ETF,MRGR,36.94,36.89,0.13554,0.05,125,4617536.94
12/10/2018,ProShares Merger ETF,MRGR,36.89,36.95,-0.16238,-0.06,100,3689036.89
