Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.18,37.09,0.24265,0.09,190,7064237.18
03/12/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.09,37.13,-0.10773,-0.04,190,7047137.09
03/11/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.13,37,0.35135,0.13,190,7054737.13
03/08/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37,36.99,0.02703,0.01,190,7030037
03/07/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,36.99,37,-0.02703,-0.01,190,7028136.99
03/06/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37,37.05,-0.13495,-0.05,190,7030037
03/05/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.05,37.09,-0.10785,-0.04,190,7039537.05
03/04/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.09,37.1,-0.02695,-0.01,190,7047137.09
03/01/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.1,37.05,0.13495,0.05,190,7049037.1
02/28/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.05,37.11,-0.16168,-0.06,190,7039537.05
02/27/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.11,37.12,-0.02694,-0.01,190,7050937.11
02/26/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.12,37.18,-0.16138,-0.06,190,7052837.12
02/25/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.18,37.14,0.10770,0.04,190,7064237.18
02/22/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.14,37.1,0.10782,0.04,190,7056637.14
02/21/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.1,37.16,-0.16146,-0.06,190,7049037.1
02/20/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.16,37.1,0.16173,0.06,190,7060437.16
02/19/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,37.1,36.97,0.35164,0.13,190,7049037.1
02/15/2019,ProShares Morningstar Alternatives Solution ETF,ALTS,36.97,36.9,0.18970,0.07,190,7024336.97
