Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,52.47138059,52.07737759,0.75657,0.394003,8384.31,439936163.58040113
03/12/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,52.07737805,51.56340305,0.99678,0.513975,8384.31,436632725.32626135
03/11/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.56340333,49.77767233,3.58741,1.785731,8384.31,432323403.48354231
03/08/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.77767266,49.85898966,-0.16309,-0.081317,8384.31,417351289.32694662
03/07/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.85898946,50.59533846,-1.45537,-0.736349,8384.31,418033074.34240422
03/06/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,50.59533836,51.37334036,-1.51441,-0.778002,8384.31,424206849.57911652
03/05/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.37334035,51.70216935,-0.63601,-0.328829,8384.31,430729857.10988745
03/04/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.70216979,52.29405979,-1.13185,-0.59189,8384.31,433486864.08548553
03/01/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,52.2940593,51.2012513,2.13434,1.092808,8384.31,438449447.4474051
02/28/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.20125133,51.04373333,0.30859,0.157518,8384.31,429287009.93487831
02/27/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.04373295,50.96590995,0.15270,0.077823,8384.31,427966327.47881565
02/26/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,50.96591017,51.26811317,-0.58946,-0.302203,8384.31,427313837.39970219
02/25/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.26811339,51.83956139,-1.10234,-0.571448,8384.31,429847601.97257073
02/22/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.83956102,50.79473302,2.05696,1.044828,8384.31,434638794.33691314
02/21/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,50.79473314,51.26746114,-0.92208,-0.472728,8384.31,425878636.62883398
02/20/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,51.26746163,50.21272163,2.10054,1.05474,8384.31,429842137.41664041
02/19/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,50.21272162,50.21291062,-0.00038,-0.000189,8384.31,420998873.36761734
02/15/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,50.21291075,49.35378075,1.74076,0.85913,8384.31,421000459.09160025
02/14/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.35378054,49.72981554,-0.75616,-0.376035,8384.31,413797247.65798578
02/13/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.72981516,49.65781916,0.14498,0.071996,8384.31,416950037.35469412
02/12/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.6578192,49.2706692,0.78576,0.38715,8384.31,416346401.1232944
02/11/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.27066905,49.08184105,0.38472,0.188828,8384.31,413100415.41059835
02/08/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.08184114,48.60555914,0.97989,0.476282,8384.31,411517224.24298998
02/07/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,48.60555944,49.47975444,-1.76677,-0.874195,8384.31,407523932.25170808
02/06/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.4797546,49.2617436,0.44256,0.218011,8384.31,414853452.8510622
02/05/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.26174366,49.16531766,0.19613,0.096426,8384.31,413025582.20074362
02/04/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,49.16531717,48.51121517,1.34835,0.654102,8134.31,399925783.61315119
02/01/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,48.51121488,48.25438688,0.53224,0.256828,8134.31,394605114.77688816
01/31/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,48.25438676,47.32124776,1.97192,0.933139,8134.31,392515996.00257532
01/30/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,47.32124753,46.41811853,1.94564,0.903129,8134.31,384925555.03201171
01/29/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,46.41811804,46.15346804,0.57341,0.26465,8134.31,377579222.49959828
01/28/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,46.15346848,47.12554248,-2.06273,-0.972074,8134.31,375426481.73114336
01/25/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,47.12554221,46.12330921,2.17294,1.002233,8134.31,383333627.87759847
01/24/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,46.12330918,45.54859018,1.26177,0.574719,8134.31,375181156.72603826
01/23/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,45.54859062,45.11757362,0.95532,0.431017,8134.31,370506219.52040034
01/22/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,45.11757322,47.34707722,-4.70885,-2.229504,8134.31,367000191.66645854
01/18/2019,ProShares Short VIX Short-Term Futures ETF,SVXY,47.3470769,47.1015069,0.52136,0.24557,8134.31,385135659.0572083
