Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.25604652,21.46231352,-0.96107,-0.206267,2337.4,49683946.90398756
03/12/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.46231373,21.61162373,-0.69088,-0.14931,2337.4,50166076.49944319
03/11/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.61162389,22.29192989,-3.05180,-0.680306,2337.4,50515074.51535767
03/08/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.29192987,22.20312187,0.39998,0.088808,2337.4,52105223.75392761
03/07/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.20312158,21.81120358,1.79687,0.391918,2337.4,51897642.99045674
03/06/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.81120384,21.44968284,1.68544,0.361521,2337.4,50981573.28922752
03/05/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.44968259,21.34469459,0.49187,0.104988,2337.4,50136552.43491377
03/04/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.34469491,21.21011591,0.63450,0.134579,2337.4,49891153.91671873
03/01/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.21011545,21.50755645,-1.38296,-0.297441,2262.4,47985828.82442635
02/28/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.50755634,21.57445134,-0.31007,-0.066895,2262.4,48658759.98628502
02/27/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.57445143,21.73053643,-0.71827,-0.156085,2187.4,47192019.78133629
02/26/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.73053681,21.46817881,1.22208,0.262358,2187.4,47533441.40980443
02/25/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.468179,21.544913,-0.35616,-0.076734,2187.4,46959559.149137
02/22/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.54491347,21.93039047,-1.75773,-0.385477,2162.4,46588785.52226841
02/21/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.93039053,21.94731553,-0.07712,-0.016925,2162.4,47422342.27324359
02/20/2019,ProShares VIX Mid-Term Futures ETF,VIXM,21.94731558,22.19212558,-1.10314,-0.24481,2162.4,47458941.05213874
02/19/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.19212539,22.23061739,-0.17315,-0.038492,2162.4,47988318.51971217
02/15/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.23061778,22.63184478,-1.77284,-0.401227,2162.4,48071554.57932534
02/14/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.63184504,22.35564904,1.23546,0.276196,2112.4,47807577.35803112
02/13/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.35564909,22.61153109,-1.13164,-0.255882,2112.4,47224140.20466327
02/12/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.61153129,22.72964229,-0.51963,-0.118111,2112.4,47764666.53158987
02/11/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.72964186,22.76208386,-0.14253,-0.032442,2112.4,48014163.65398958
02/08/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.76208407,22.86845607,-0.46515,-0.106372,2112.4,48082694.67572021
02/07/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.86845631,22.48033131,1.72651,0.388125,1987.4,45448838.67586293
02/06/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.48033107,22.66700007,-0.82353,-0.186669,1987.4,44677477.40951121
02/05/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.66700045,22.89515845,-0.99653,-0.228158,1987.4,45048464.69533135
02/04/2019,ProShares VIX Mid-Term Futures ETF,VIXM,22.89515886,23.32432286,-1.83998,-0.429164,1987.4,45501907.40384058
02/01/2019,ProShares VIX Mid-Term Futures ETF,VIXM,23.32432329,23.47051329,-0.62287,-0.14619,1987.4,46354830.07951587
01/31/2019,ProShares VIX Mid-Term Futures ETF,VIXM,23.4705137,23.9513817,-2.00768,-0.480868,1987.4,46645369.3389211
01/30/2019,ProShares VIX Mid-Term Futures ETF,VIXM,23.95138133,24.14384633,-0.79716,-0.192465,1987.4,47601047.10938599
01/29/2019,ProShares VIX Mid-Term Futures ETF,VIXM,24.14384649,24.46078349,-1.29569,-0.316937,2087.4,50397937.59476547
01/28/2019,ProShares VIX Mid-Term Futures ETF,VIXM,24.46078339,24.01208439,1.86864,0.448699,2087.4,51059512.63063617
01/25/2019,ProShares VIX Mid-Term Futures ETF,VIXM,24.01208472,24.46243972,-1.84101,-0.450355,2037.4,48922293.44478216
01/24/2019,ProShares VIX Mid-Term Futures ETF,VIXM,24.46243961,24.81202961,-1.40895,-0.34959,2037.4,49839847.84873283
