Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares Hedge Replication ETF,HDG,45.19,45.1,0.19956,0.09,805,36377950
03/12/2019,ProShares Hedge Replication ETF,HDG,45.1,45.07,0.06656,0.03,805,36305500
03/11/2019,ProShares Hedge Replication ETF,HDG,45.07,44.82,0.55779,0.25,805,36281350
03/08/2019,ProShares Hedge Replication ETF,HDG,44.82,44.87,-0.11143,-0.05,805,36080100
03/07/2019,ProShares Hedge Replication ETF,HDG,44.87,45.06,-0.42166,-0.19,805,36120350
03/06/2019,ProShares Hedge Replication ETF,HDG,45.06,45.21,-0.33179,-0.15,805,36273300
03/05/2019,ProShares Hedge Replication ETF,HDG,45.21,45.18,0.06640,0.03,805,36394050
03/04/2019,ProShares Hedge Replication ETF,HDG,45.18,45.24,-0.13263,-0.06,805,36369900
03/01/2019,ProShares Hedge Replication ETF,HDG,45.24,45.15,0.19934,0.09,805,36418200
02/28/2019,ProShares Hedge Replication ETF,HDG,45.15,45.24,-0.19894,-0.09,805,36345750
02/27/2019,ProShares Hedge Replication ETF,HDG,45.24,45.28,-0.08834,-0.04,805,36418200
02/26/2019,ProShares Hedge Replication ETF,HDG,45.28,45.32,-0.08826,-0.04,805,36450400
02/25/2019,ProShares Hedge Replication ETF,HDG,45.32,45.25,0.15470,0.07,805,36482600
02/22/2019,ProShares Hedge Replication ETF,HDG,45.25,45.12,0.28812,0.13,805,36426250
02/21/2019,ProShares Hedge Replication ETF,HDG,45.12,45.17,-0.11069,-0.05,805,36321600
02/20/2019,ProShares Hedge Replication ETF,HDG,45.17,45.1,0.15521,0.07,805,36361850
02/19/2019,ProShares Hedge Replication ETF,HDG,45.1,45.03,0.15545,0.07,805,36305500
02/15/2019,ProShares Hedge Replication ETF,HDG,45.03,44.87,0.35659,0.16,805,36249150
02/14/2019,ProShares Hedge Replication ETF,HDG,44.87,44.87,0.00000,0,805,36120350
02/13/2019,ProShares Hedge Replication ETF,HDG,44.87,44.86,0.02229,0.01,805,36120350
02/12/2019,ProShares Hedge Replication ETF,HDG,44.86,44.68,0.40286,0.18,805,36112300
02/11/2019,ProShares Hedge Replication ETF,HDG,44.68,44.66,0.04478,0.02,765,34180200
02/08/2019,ProShares Hedge Replication ETF,HDG,44.66,44.69,-0.06713,-0.03,765,34164900
