IQ Hedge Long/Short Tracker ETF
Daily Prices Since Inception

Date, NAV
03/12/2019, 20.8452557
03/11/2019, 20.8267768
03/08/2019, 20.72522427
03/07/2019, 20.74047423
03/06/2019, 20.84316753
03/05/2019, 20.88067283
03/04/2019, 20.87888373
03/01/2019, 20.90400387
02/28/2019, 20.8211
02/27/2019, 20.8455684
02/26/2019, 20.87914337
02/25/2019, 20.8431231
02/22/2019, 20.8082163
02/21/2019, 20.74616053
02/20/2019, 20.78494
02/19/2019, 20.7532
02/15/2019, 20.72328113
02/14/2019, 20.57688557
02/13/2019, 20.58947723
02/12/2019, 20.56568643
02/11/2019, 20.4199278
02/08/2019, 20.42881293
02/07/2019, 20.45000167
02/06/2019, 20.57232637
02/05/2019, 20.6066517
02/04/2019, 20.5335485
02/01/2019, 20.47354007
01/31/2019, 20.48861267
01/30/2019, 20.43891557
01/29/2019, 20.29690413
01/28/2019, 20.2786514
01/25/2019, 20.3347149
01/24/2019, 20.25135977
01/23/2019, 20.2142419
01/22/2019, 20.17230483
01/18/2019, 20.30581107
01/17/2019, 20.15303413
01/16/2019, 20.09305723
01/15/2019, 20.01595363
01/14/2019, 19.92848497
01/11/2019, 19.99860197
01/10/2019, 20.0383159
01/09/2019, 20.0132928
01/08/2019, 19.9315676
01/07/2019, 19.83717833
01/04/2019, 19.78750817
01/03/2019, 19.4632636
01/02/2019, 19.60635977
12/31/2018, 19.57929165
12/28/2018, 19.51353405
12/27/2018, 19.45040315
12/26/2018, 20.3459854
12/24/2018, 19.98828245
12/21/2018, 20.16062685
12/20/2018, 20.3403802
12/19/2018, 20.4751269
12/18/2018, 20.61481725
12/17/2018, 20.5933702
12/14/2018, 20.731746
12/13/2018, 20.88668642
12/12/2018, 20.91271589
12/11/2018, 20.7903786
12/10/2018, 20.78152919
12/07/2018, 20.8194693
12/06/2018, 20.98795776
12/04/2018, 21.0701434
12/03/2018, 21.43012485
11/30/2018, 21.28339778
11/29/2018, 21.2825
11/28/2018, 21.34958885
11/27/2018, 21.14526842
11/26/2018, 21.16566777
11/23/2018, 20.99337128
11/21/2018, 21.04498968
11/20/2018, 20.93436158
11/19/2018, 21.13837326
11/16/2018, 21.28767046
11/15/2018, 21.31734936
11/14/2018, 21.25210024
11/13/2018, 21.31334188
11/12/2018, 21.28816456
11/09/2018, 21.50626662
11/08/2018, 21.59403708
11/07/2018, 21.66637937
11/06/2018, 21.48360993
11/05/2018, 21.41997575
11/02/2018, 21.41654587
11/01/2018, 21.43512272
10/31/2018, 21.31319803
10/30/2018, 21.20727891
10/29/2018, 21.08154394
10/26/2018, 21.10815626
10/25/2018, 21.22444993
10/24/2018, 21.0694011
10/23/2018, 21.34040105
10/22/2018, 21.42610842
10/19/2018, 21.4909737
10/18/2018, 21.47667222
10/17/2018, 21.62592642
10/16/2018, 21.6497795
10/15/2018, 21.44572557
10/12/2018, 21.49502642
10/11/2018, 21.43039435
10/10/2018, 21.57126229
10/09/2018, 21.87513337
10/08/2018, 21.90234384
10/05/2018, 21.95155819
10/04/2018, 22.050907
10/03/2018, 22.19325533
10/02/2018, 22.20181094
10/01/2018, 22.25349243
09/28/2018, 22.2395114
09/27/2018, 22.30299989
09/26/2018, 22.30878431
09/25/2018, 22.30710231
09/24/2018, 22.28533157
09/21/2018, 22.34217144
09/20/2018, 22.35512117
09/19/2018, 22.25547782
09/18/2018, 22.23236574
09/17/2018, 22.14615307
09/14/2018, 22.1905081
09/13/2018, 22.16226794
09/12/2018, 22.11530677
09/11/2018, 22.11456428
09/10/2018, 22.10832573
09/07/2018, 22.05352843
09/06/2018, 22.13479034
09/05/2018, 22.16940824
09/04/2018, 22.26383674
08/31/2018, 22.32215243
08/30/2018, 22.34827345
08/29/2018, 22.41473909
08/28/2018, 22.35845903
08/27/2018, 22.38325899
08/24/2018, 22.2510804
08/23/2018, 22.17942668
08/22/2018, 22.21040795
08/21/2018, 22.19476304
08/20/2018, 22.14528859
08/17/2018, 22.09999658
08/16/2018, 22.06178432
08/15/2018, 21.99405856
08/14/2018, 22.10027017
08/13/2018, 22.05310204
08/10/2018, 22.09297367
08/09/2018, 22.22327857
08/08/2018, 22.23234179
08/07/2018, 22.23466811
08/06/2018, 22.19851425
08/03/2018, 22.20719228
08/02/2018, 22.17872993
08/01/2018, 22.16740236
07/31/2018, 22.18949973
07/30/2018, 22.17930938
07/27/2018, 22.23521006
07/26/2018, 22.24793523
07/25/2018, 22.3001203
07/24/2018, 22.21152575
07/23/2018, 22.1615866
07/20/2018, 22.15372569
07/19/2018, 22.13969925
07/18/2018, 22.17643476
07/17/2018, 22.1386546
07/16/2018, 22.09909234
07/13/2018, 22.0810554
07/12/2018, 22.08036524
07/11/2018, 21.9854999
07/10/2018, 22.08709018
07/09/2018, 22.09149442
07/06/2018, 21.97289535
07/05/2018, 21.90517099
07/03/2018, 21.82849025
07/02/2018, 21.84939907
06/29/2018, 21.85764676
06/28/2018, 21.83192746
06/27/2018, 21.78607716
06/26/2018, 21.86852523
06/25/2018, 21.84689303
06/22/2018, 21.97999158
06/21/2018, 21.94154837
06/20/2018, 22.00707658
06/19/2018, 22.03339624
06/18/2018, 22.10238722
06/15/2018, 22.16802385
06/14/2018, 22.20081291
06/13/2018, 22.17890531
06/12/2018, 22.1944585
06/11/2018, 22.2235851
06/08/2018, 22.18202157
06/07/2018, 22.15920858
06/06/2018, 22.19222626
06/05/2018, 22.09732894
06/04/2018, 22.09354921
06/01/2018, 22.05968636
05/31/2018, 21.97109273
05/30/2018, 22.03320457
05/29/2018, 21.93454208
05/25/2018, 22.07617483
05/24/2018, 22.08418548
05/23/2018, 22.09869796
05/22/2018, 22.13120682
05/21/2018, 22.13885798
05/18/2018, 22.07800114
05/17/2018, 22.08551288
05/16/2018, 22.09935251
05/15/2018, 22.081398
05/14/2018, 22.16675143
05/11/2018, 22.17310317
05/10/2018, 22.14713658
05/09/2018, 22.06591769
05/08/2018, 22.01390072
05/07/2018, 21.99352472
05/04/2018, 21.95447721
05/03/2018, 21.87226277
05/02/2018, 21.8785698
05/01/2018, 21.91056685
04/30/2018, 21.91042777
04/27/2018, 21.9684961
04/26/2018, 21.95164767
04/25/2018, 21.8607821
04/24/2018, 21.88649746
04/23/2018, 21.98928993
04/20/2018, 22.00237387
04/19/2018, 22.06672288
04/18/2018, 22.08350377
04/17/2018, 22.0912034
04/16/2018, 22.02440089
04/13/2018, 22.00536639
04/12/2018, 22.0580565
04/11/2018, 21.98286964
04/10/2018, 22.05337919
04/09/2018, 21.92078757
04/06/2018, 21.84085495
04/05/2018, 21.96724166
04/04/2018, 21.90801195
04/03/2018, 21.83280429
04/02/2018, 21.75164425
03/29/2018, 21.9613079
03/28/2018, 21.81149822
03/27/2018, 21.75971793
03/26/2018, 21.90688788
03/23/2018, 21.6401161
03/22/2018, 21.8704075
03/21/2018, 22.12567654
03/20/2018, 22.16107545
03/19/2018, 22.16023907
03/16/2018, 22.27867315
03/15/2018, 22.30549344
03/14/2018, 22.29837243
03/13/2018, 22.29918988
03/12/2018, 22.38344634
03/09/2018, 22.37421029
03/08/2018, 22.24983853
03/07/2018, 22.18405036
03/06/2018, 22.17552031
03/05/2018, 22.0801727
03/02/2018, 21.99345572
03/01/2018, 21.97798871
02/28/2018, 22.14427286
02/27/2018, 22.21819335
02/26/2018, 22.33160835
02/23/2018, 22.21170525
02/22/2018, 22.0680535
02/21/2018, 22.06919028
02/20/2018, 22.08993518
02/16/2018, 22.11325792
02/15/2018, 22.0400634
02/14/2018, 21.92765506
02/13/2018, 21.81244294
02/12/2018, 21.83513084
02/09/2018, 21.68350737
02/08/2018, 21.6183644
02/07/2018, 21.94333692
02/06/2018, 22.00271619
02/05/2018, 21.77273349
02/02/2018, 22.18207217
02/01/2018, 22.43216964
01/31/2018, 22.44631283
01/30/2018, 22.43019537
01/29/2018, 22.56621156
01/26/2018, 22.66727471
01/25/2018, 22.56241877
01/24/2018, 22.55968085
01/23/2018, 22.58066615
01/22/2018, 22.51130374
01/19/2018, 22.44710076
01/18/2018, 22.36220444
01/17/2018, 22.41130854
01/16/2018, 22.32595477
01/12/2018, 22.37230949
01/11/2018, 22.29138144
01/10/2018, 22.20250089
01/09/2018, 22.23583587
01/08/2018, 22.19890416
01/05/2018, 22.18558282
01/04/2018, 22.10514827
01/03/2018, 22.0198741
01/02/2018, 21.91541237
12/29/2017, 21.89768511
12/28/2017, 21.9308894
12/27/2017, 22.00792256
