IQ Hedge Market Neutral Tracker ETF
Daily Prices Since Inception

Date, NAV
03/12/2019, 25.88037843
03/11/2019, 25.85404932
03/08/2019, 25.79981545
03/07/2019, 25.80533642
03/06/2019, 25.86432315
03/05/2019, 25.8725443
03/04/2019, 25.87788337
03/01/2019, 25.8752556
02/28/2019, 25.8564
02/27/2019, 25.87075637
02/26/2019, 25.87848578
02/25/2019, 25.84725777
02/22/2019, 25.83357715
02/21/2019, 25.78310452
02/20/2019, 25.79945312
02/19/2019, 25.7909
02/15/2019, 25.76320377
02/14/2019, 25.7125734
02/13/2019, 25.70051675
02/12/2019, 25.70843545
02/11/2019, 25.6521119
02/08/2019, 25.67386033
02/07/2019, 25.673181
02/06/2019, 25.71865145
02/05/2019, 25.72524772
02/04/2019, 25.69106032
02/01/2019, 25.6718539
01/31/2019, 25.67188917
01/30/2019, 25.66431363
01/29/2019, 25.60610507
01/28/2019, 25.60167502
01/25/2019, 25.61101765
01/24/2019, 25.58216722
01/23/2019, 25.56487682
01/22/2019, 25.54843643
01/18/2019, 25.58258408
01/17/2019, 25.54012835
01/16/2019, 25.50380517
01/15/2019, 25.47912418
01/14/2019, 25.4638782
01/11/2019, 25.49797862
01/10/2019, 25.50765108
01/09/2019, 25.52193558
01/08/2019, 25.50705655
01/07/2019, 25.451252
01/04/2019, 25.3599885
01/03/2019, 25.21429482
01/02/2019, 25.20417332
12/31/2018, 25.18686265
12/28/2018, 25.16527437
12/27/2018, 25.13987938
12/26/2018, 25.13422142
12/24/2018, 24.97931333
12/21/2018, 25.05349765
12/20/2018, 25.11089838
12/19/2018, 25.18153131
12/18/2018, 25.24404358
12/17/2018, 25.24178453
12/14/2018, 25.2940526
12/13/2018, 25.35074267
12/12/2018, 25.34582556
12/11/2018, 25.31783485
12/10/2018, 25.34093396
12/07/2018, 25.35982127
12/06/2018, 25.43448075
12/04/2018, 25.4447736
12/03/2018, 25.54182809
11/30/2018, 25.49726813
11/29/2018, 25.4949
11/28/2018, 25.51604271
11/27/2018, 25.45677962
11/26/2018, 25.47752858
11/23/2018, 25.43021612
11/21/2018, 25.43475116
11/20/2018, 25.4218802
11/19/2018, 25.48014682
11/16/2018, 25.53455186
11/15/2018, 25.54245064
11/14/2018, 25.5340078
11/13/2018, 25.54699156
11/12/2018, 25.54911992
11/09/2018, 25.61080284
11/08/2018, 25.63125844
11/07/2018, 25.67358372
11/06/2018, 25.61752516
11/05/2018, 25.60920012
11/02/2018, 25.60251522
11/01/2018, 25.62443506
10/31/2018, 25.57977242
10/30/2018, 25.5592021
10/29/2018, 25.54191394
10/26/2018, 25.54789074
10/25/2018, 25.57369636
10/24/2018, 25.53941962
10/23/2018, 25.61586294
10/22/2018, 25.63271934
10/19/2018, 25.64659562
10/18/2018, 25.66411922
10/17/2018, 25.70344958
10/16/2018, 25.7266646
10/15/2018, 25.67789602
10/12/2018, 25.68216828
10/11/2018, 25.66801688
10/10/2018, 25.6923223
10/09/2018, 25.75961738
10/08/2018, 25.7715539
10/05/2018, 25.7912684
10/04/2018, 25.8283023
10/03/2018, 25.86287432
10/02/2018, 25.8791929
10/01/2018, 25.88993358
09/28/2018, 25.8889774
09/27/2018, 25.90779982
09/26/2018, 25.9139269
09/25/2018, 25.9058494
09/24/2018, 25.89642074
09/21/2018, 25.9046073
09/20/2018, 25.91990114
09/19/2018, 25.87455112
09/18/2018, 25.8807075
09/17/2018, 25.87699046
09/14/2018, 25.88190134
09/13/2018, 25.88245236
09/12/2018, 25.86728006
09/11/2018, 25.86089218
09/10/2018, 25.85901438
09/07/2018, 25.83021786
09/06/2018, 25.86888662
09/05/2018, 25.87636312
09/04/2018, 25.8912404
08/31/2018, 25.90824478
08/30/2018, 25.9140124
08/29/2018, 25.91395028
08/28/2018, 25.89868314
08/27/2018, 25.91263938
08/24/2018, 25.88240462
08/23/2018, 25.8549711
08/22/2018, 25.86443852
08/21/2018, 25.84668732
08/20/2018, 25.82652088
08/17/2018, 25.80426716
08/16/2018, 25.78582558
08/15/2018, 25.76783272
08/14/2018, 25.79391216
08/13/2018, 25.78059168
08/10/2018, 25.79437058
08/09/2018, 25.81611534
08/08/2018, 25.81854112
08/07/2018, 25.81211248
08/06/2018, 25.81211622
08/03/2018, 25.81005762
08/02/2018, 25.81138384
08/01/2018, 25.80277404
07/31/2018, 25.80577244
07/30/2018, 25.79375042
07/27/2018, 25.81266798
07/26/2018, 25.82660318
07/25/2018, 25.83391716
07/24/2018, 25.8057018
07/23/2018, 25.79629172
07/20/2018, 25.8120436
07/19/2018, 25.80930426
07/18/2018, 25.8060383
07/17/2018, 25.80308238
07/16/2018, 25.79303436
07/13/2018, 25.79168978
07/12/2018, 25.78871248
07/11/2018, 25.76128648
07/10/2018, 25.78764732
07/09/2018, 25.80050112
07/06/2018, 25.76780164
07/05/2018, 25.72771122
07/03/2018, 25.68512638
07/02/2018, 25.68246588
06/29/2018, 25.69056388
06/28/2018, 25.67408944
06/27/2018, 25.6670734
06/26/2018, 25.7092365
06/25/2018, 25.69135872
06/22/2018, 25.75730308
06/21/2018, 25.75247518
06/20/2018, 25.77789032
06/19/2018, 25.78593936
06/18/2018, 25.80570178
06/15/2018, 25.81140912
06/14/2018, 25.82262998
06/13/2018, 25.80191002
06/12/2018, 25.8155166
06/11/2018, 25.80624092
06/08/2018, 25.79889638
06/07/2018, 25.79627444
06/06/2018, 25.80072008
06/05/2018, 25.78192542
06/04/2018, 25.75910688
06/01/2018, 25.74553286
05/31/2018, 25.72322452
05/30/2018, 25.74731234
05/29/2018, 25.70997086
05/25/2018, 25.71880388
05/24/2018, 25.713848
05/23/2018, 25.69839224
05/22/2018, 25.67754636
