IQ Hedge Multi-Strategy Tracker ETF
Daily Prices Since Inception

Date, NAV
03/12/2019, 29.95652165
03/11/2019, 29.91762726
03/08/2019, 29.84013683
03/07/2019, 29.86040334
03/06/2019, 29.95385164
03/05/2019, 29.98624101
03/04/2019, 29.97045101
03/01/2019, 29.96482854
02/28/2019, 29.9336
02/27/2019, 29.96991533
02/26/2019, 29.98985517
02/25/2019, 29.96715434
02/22/2019, 29.93576431
02/21/2019, 29.86190057
02/20/2019, 29.88816303
02/19/2019, 29.8711
02/15/2019, 29.82467445
02/14/2019, 29.76254638
02/13/2019, 29.74205314
02/12/2019, 29.73816533
02/11/2019, 29.66356625
02/08/2019, 29.68158977
02/07/2019, 29.69235584
02/06/2019, 29.76760162
02/05/2019, 29.79464125
02/04/2019, 29.7308907
02/01/2019, 29.69054797
01/31/2019, 29.71155951
01/30/2019, 29.64463378
01/29/2019, 29.50529603
01/28/2019, 29.49560216
01/25/2019, 29.54972782
01/24/2019, 29.47564813
01/23/2019, 29.42611537
01/22/2019, 29.39061873
01/18/2019, 29.5008057
01/17/2019, 29.41324208
01/16/2019, 29.37713439
01/15/2019, 29.33215
01/14/2019, 29.26679882
01/11/2019, 29.32819684
01/10/2019, 29.35575379
01/09/2019, 29.33948865
01/08/2019, 29.25681909
01/07/2019, 29.19148853
01/04/2019, 29.11203104
01/03/2019, 28.88368266
01/02/2019, 28.93544132
12/31/2018, 28.92064389
12/28/2018, 28.88874212
12/27/2018, 28.85579361
12/26/2018, 29.37308107
12/24/2018, 29.1462071
12/21/2018, 29.24396925
12/20/2018, 29.34777162
12/19/2018, 29.43157067
12/18/2018, 29.54704885
12/17/2018, 29.54846781
12/14/2018, 29.65308645
12/13/2018, 29.75635508
12/12/2018, 29.74459875
12/11/2018, 29.67054297
12/10/2018, 29.67013951
12/07/2018, 29.70249062
12/06/2018, 29.82315312
12/04/2018, 29.8862068
12/03/2018, 30.07981678
11/30/2018, 29.95870725
11/29/2018, 29.9357
11/28/2018, 29.9683296
11/27/2018, 29.82554546
11/26/2018, 29.83791574
11/23/2018, 29.73118874
11/21/2018, 29.7839327
11/20/2018, 29.69644956
11/19/2018, 29.82185491
11/16/2018, 29.9335833
11/15/2018, 29.93461916
11/14/2018, 29.86622457
11/13/2018, 29.86107591
11/12/2018, 29.84545404
11/09/2018, 29.97601964
11/08/2018, 30.05763518
11/07/2018, 30.15958952
11/06/2018, 30.03272279
11/05/2018, 30.03024827
11/02/2018, 30.03425249
11/01/2018, 30.04896047
10/31/2018, 29.85804328
10/30/2018, 29.77351928
10/29/2018, 29.6562375
10/26/2018, 29.72916281
10/25/2018, 29.82710013
10/24/2018, 29.69615154
10/23/2018, 29.94427677
10/22/2018, 30.01757753
10/19/2018, 30.01123946
10/18/2018, 30.02269355
10/17/2018, 30.17342503
10/16/2018, 30.22032471
10/15/2018, 30.03148234
10/12/2018, 30.06402145
10/11/2018, 29.95740193
10/10/2018, 30.04218062
10/09/2018, 30.29398467
