IQ Real Return ETF
Daily Prices Since Inception

Date, NAV
03/12/2019, 27.51554483
03/11/2019, 27.49920481
03/08/2019, 27.40998028
03/07/2019, 27.42287959
03/06/2019, 27.46708665
03/05/2019, 27.5219571
03/04/2019, 27.52562407
03/01/2019, 27.54052531
02/28/2019, 27.5129
02/27/2019, 27.53052336
02/26/2019, 27.52111101
02/25/2019, 27.52840672
02/22/2019, 27.53378043
02/21/2019, 27.48947748
02/20/2019, 27.50377252
02/19/2019, 27.4825
02/15/2019, 27.46140668
02/14/2019, 27.38128108
02/13/2019, 27.37249025
02/12/2019, 27.35497717
02/11/2019, 27.2794814
02/08/2019, 27.26662609
02/07/2019, 27.26104167
02/06/2019, 27.32009962
02/05/2019, 27.33102869
02/04/2019, 27.31694788
02/01/2019, 27.27545179
01/31/2019, 27.25876225
01/30/2019, 27.20979121
01/29/2019, 27.11270012
01/28/2019, 27.10777952
01/25/2019, 27.16187244
01/24/2019, 27.10210026
01/23/2019, 27.066236
01/22/2019, 27.06343751
01/18/2019, 27.15162563
01/17/2019, 27.070964
01/16/2019, 27.02684018
01/15/2019, 26.9938182
01/14/2019, 26.92721156
01/11/2019, 26.97978275
01/10/2019, 26.99193942
01/09/2019, 26.95879684
01/08/2019, 26.88126902
01/07/2019, 26.81081432
01/04/2019, 26.75069871
01/03/2019, 26.56431134
01/02/2019, 26.64972073
12/31/2018, 26.62076948
12/28/2018, 26.5815554
12/27/2018, 26.57427948
12/26/2018, 26.91097927
12/24/2018, 26.6719187
12/21/2018, 26.7822138
12/20/2018, 26.8876531
12/19/2018, 26.9635021
12/18/2018, 27.03970754
12/17/2018, 27.0766684
12/14/2018, 27.19572923
12/13/2018, 27.29329438
12/12/2018, 27.30034933
12/11/2018, 27.25197549
12/10/2018, 27.23135888
12/07/2018, 27.27924576
12/06/2018, 27.37591458
12/04/2018, 27.40898503
12/03/2018, 27.59067024
11/30/2018, 27.48691796
11/29/2018, 27.479
11/28/2018, 27.48766298
11/27/2018, 27.38322891
11/26/2018, 27.39135322
11/23/2018, 27.32326718
11/21/2018, 27.38926212
11/20/2018, 27.30312901
11/19/2018, 27.45512398
11/16/2018, 27.54116879
11/15/2018, 27.52422814
11/14/2018, 27.44145437
11/13/2018, 27.44322393
11/12/2018, 27.47159756
11/09/2018, 27.57059561
11/08/2018, 27.66444151
11/07/2018, 27.71956691
11/06/2018, 27.6228187
11/05/2018, 27.61375386
11/02/2018, 27.60507508
11/01/2018, 27.60436959
10/31/2018, 27.49323398
10/30/2018, 27.46966068
10/29/2018, 27.37816551
10/26/2018, 27.43128481
10/25/2018, 27.48291348
10/24/2018, 27.37382165
10/23/2018, 27.54788275
10/22/2018, 27.62023468
10/19/2018, 27.61308841
10/18/2018, 27.6251326
10/17/2018, 27.73871534
10/16/2018, 27.78490571
10/15/2018, 27.64246019
10/12/2018, 27.65073213
10/11/2018, 27.5905174
10/10/2018, 27.6949909
10/09/2018, 27.86478563
10/08/2018, 27.87396341
10/05/2018, 27.87992802
10/04/2018, 27.91770854
10/03/2018, 28.01301071
10/02/2018, 27.99030243
10/01/2018, 28.04005098
09/28/2018, 28.04564748
09/27/2018, 28.03264234
09/26/2018, 28.01577236
09/25/2018, 28.04512587
09/24/2018, 28.03085092
09/21/2018, 28.04332805
09/20/2018, 28.0494232
09/19/2018, 27.99878619
09/18/2018, 27.98160025
09/17/2018, 27.94346905
09/14/2018, 27.97483413
09/13/2018, 27.9632967
09/12/2018, 27.93818124
09/11/2018, 27.93507402
09/10/2018, 27.92144075
09/07/2018, 27.90478447
09/06/2018, 27.92047945
09/05/2018, 27.94218521
09/04/2018, 27.96620254
08/31/2018, 27.98915537
08/30/2018, 27.99261565
08/29/2018, 28.01416119
08/28/2018, 27.98564879
08/27/2018, 27.98538201
08/24/2018, 27.94234698
08/23/2018, 27.90621499
08/22/2018, 27.92189505
08/21/2018, 27.91174707
08/20/2018, 27.87430741
08/17/2018, 27.85562574
08/16/2018, 27.82949216
08/15/2018, 27.78165835
08/14/2018, 27.84238607
08/13/2018, 27.80913127
08/10/2018, 27.84183246
08/09/2018, 27.89396747
08/08/2018, 27.89207022
08/07/2018, 27.89512372
08/06/2018, 27.86897555
08/03/2018, 27.86270255
08/02/2018, 27.85773825
08/01/2018, 27.84806696
07/31/2018, 27.86042911
07/30/2018, 27.82597949
07/27/2018, 27.84842171
07/26/2018, 27.89333735
07/25/2018, 27.89387057
07/24/2018, 27.85570944
07/23/2018, 27.85856071
07/20/2018, 27.85564716
07/19/2018, 27.85276721
07/18/2018, 27.84671177
07/17/2018, 27.83697428
07/16/2018, 27.81743121
07/13/2018, 27.83467971
07/12/2018, 27.84055396
07/11/2018, 27.79739782
07/10/2018, 27.84923946
07/09/2018, 27.85554532
07/06/2018, 27.81365701
07/05/2018, 27.76549322
07/03/2018, 27.71053224
07/02/2018, 27.68961365
06/29/2018, 27.68152745
06/28/2018, 27.6732525
06/27/2018, 27.65566912
06/26/2018, 27.71748441
06/25/2018, 27.70137558
06/22/2018, 27.78349005
06/21/2018, 27.77793121
06/20/2018, 27.81648619
06/19/2018, 27.80219851
06/18/2018, 27.81122598
06/15/2018, 27.80748111
06/14/2018, 27.83023759
06/13/2018, 27.80002658
06/12/2018, 27.81341226
06/11/2018, 27.81091633
06/08/2018, 27.79853996
06/07/2018, 27.78111079
06/06/2018, 27.7877195
06/05/2018, 27.75431767
06/04/2018, 27.71519748
06/01/2018, 27.69956835
05/31/2018, 27.67419647
05/30/2018, 27.71906533
05/29/2018, 27.64527162
05/25/2018, 27.66296769
05/24/2018, 27.67408548
05/23/2018, 27.64969605
05/22/2018, 27.62884923
05/21/2018, 27.65018096
05/18/2018, 27.61668948
05/17/2018, 27.61211904
05/16/2018, 27.59692445
05/15/2018, 27.55611697
05/14/2018, 27.63648209
05/11/2018, 27.65829948
05/10/2018, 27.64900252
05/09/2018, 27.56605707
05/08/2018, 27.54487011
05/07/2018, 27.53051145
05/04/2018, 27.50988339
05/03/2018, 27.43835013
05/02/2018, 27.4346183
05/01/2018, 27.4518941
04/30/2018, 27.46632221
04/27/2018, 27.52413602
04/26/2018, 27.49808393
04/25/2018, 27.44380673
04/24/2018, 27.47306456
04/23/2018, 27.51983811
04/20/2018, 27.55730256
04/19/2018, 27.6327608
04/18/2018, 27.68198464
04/17/2018, 27.6812751
04/16/2018, 27.6218554
04/13/2018, 27.5723437
04/12/2018, 27.58957684
04/11/2018, 27.61118064
04/10/2018, 27.58072365
04/09/2018, 27.49462797
04/06/2018, 27.48304424
04/05/2018, 27.54593473
04/04/2018, 27.53532992
04/03/2018, 27.49392415
04/02/2018, 27.46768781
03/29/2018, 27.52383321
03/28/2018, 27.45661382
03/27/2018, 27.51149501
03/26/2018, 27.59535175
03/23/2018, 27.475472
03/22/2018, 27.5134238
03/21/2018, 27.64550217
03/20/2018, 27.55985997
03/19/2018, 27.56492598
03/16/2018, 27.60295358
03/15/2018, 27.60093702
03/14/2018, 27.64290157
03/13/2018, 27.65560431
03/12/2018, 27.68096609
03/09/2018, 27.66731129
03/08/2018, 27.5824926
03/07/2018, 27.58585885
03/06/2018, 27.58025913
03/05/2018, 27.50882043
03/02/2018, 27.48363648
03/01/2018, 27.42521222
02/28/2018, 27.42846389
02/27/2018, 27.49452741
02/26/2018, 27.62674803
02/23/2018, 27.57954441
02/22/2018, 27.50751083
02/21/2018, 27.49239729
02/20/2018, 27.50374393
02/16/2018, 27.59093002
02/15/2018, 27.58780728
02/14/2018, 27.52148191
02/13/2018, 27.40625487
02/12/2018, 27.3718993
02/09/2018, 27.31013196
02/08/2018, 27.26117737
02/07/2018, 27.39199661
02/06/2018, 27.45719514
02/05/2018, 27.42566113
02/02/2018, 27.56023382
02/01/2018, 27.70822069
