Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares RAFI Long/Short,RALS,35.54,35.54,0.00000,0,270,9595800
03/12/2019,ProShares RAFI Long/Short,RALS,35.54,35.54,0.00000,0,270,9595800
03/11/2019,ProShares RAFI Long/Short,RALS,35.54,35.58,-0.11242,-0.04,270,9595800
03/08/2019,ProShares RAFI Long/Short,RALS,35.58,35.6,-0.05618,-0.02,270,9606600
03/07/2019,ProShares RAFI Long/Short,RALS,35.6,35.57,0.08434,0.03,270,9612000
03/06/2019,ProShares RAFI Long/Short,RALS,35.57,35.61,-0.11233,-0.04,270,9603900
03/05/2019,ProShares RAFI Long/Short,RALS,35.61,35.65,-0.11220,-0.04,270,9614700
03/04/2019,ProShares RAFI Long/Short,RALS,35.65,35.65,0.00000,0,270,9625500
03/01/2019,ProShares RAFI Long/Short,RALS,35.65,35.69,-0.11208,-0.04,270,9625500
02/28/2019,ProShares RAFI Long/Short,RALS,35.69,35.7,-0.02801,-0.01,270,9636300
02/27/2019,ProShares RAFI Long/Short,RALS,35.7,35.72,-0.05599,-0.02,270,9639000
02/26/2019,ProShares RAFI Long/Short,RALS,35.72,35.73,-0.02799,-0.01,270,9644400
02/25/2019,ProShares RAFI Long/Short,RALS,35.73,35.76,-0.08389,-0.03,270,9647100
02/22/2019,ProShares RAFI Long/Short,RALS,35.76,35.82,-0.16750,-0.06,270,9655200
02/21/2019,ProShares RAFI Long/Short,RALS,35.82,35.82,0.00000,0,270,9671400
02/20/2019,ProShares RAFI Long/Short,RALS,35.82,35.79,0.08382,0.03,270,9671400
02/19/2019,ProShares RAFI Long/Short,RALS,35.79,35.75,0.11189,0.04,270,9663300
02/15/2019,ProShares RAFI Long/Short,RALS,35.75,35.68,0.19619,0.07,270,9652500
02/14/2019,ProShares RAFI Long/Short,RALS,35.68,35.7,-0.05602,-0.02,270,9633600
02/13/2019,ProShares RAFI Long/Short,RALS,35.7,35.66,0.11217,0.04,270,9639000
02/12/2019,ProShares RAFI Long/Short,RALS,35.66,35.69,-0.08406,-0.03,270,9628200
02/11/2019,ProShares RAFI Long/Short,RALS,35.69,35.68,0.02803,0.01,270,9636300
02/08/2019,ProShares RAFI Long/Short,RALS,35.68,35.76,-0.22371,-0.08,270,9633600
02/07/2019,ProShares RAFI Long/Short,RALS,35.76,35.74,0.05596,0.02,270,9655200
02/06/2019,ProShares RAFI Long/Short,RALS,35.74,35.71,0.08401,0.03,300,10722000
02/05/2019,ProShares RAFI Long/Short,RALS,35.71,35.76,-0.13982,-0.05,300,10713000
02/04/2019,ProShares RAFI Long/Short,RALS,35.76,35.83,-0.19537,-0.07,300,10728000
02/01/2019,ProShares RAFI Long/Short,RALS,35.83,35.79,0.11176,0.04,300,10749000
01/31/2019,ProShares RAFI Long/Short,RALS,35.79,35.81,-0.05585,-0.02,300,10737000
01/30/2019,ProShares RAFI Long/Short,RALS,35.81,35.96,-0.41713,-0.15,300,10743000
01/29/2019,ProShares RAFI Long/Short,RALS,35.96,35.89,0.19504,0.07,300,10788000
01/28/2019,ProShares RAFI Long/Short,RALS,35.89,35.84,0.13951,0.05,300,10767000
01/25/2019,ProShares RAFI Long/Short,RALS,35.84,35.87,-0.08364,-0.03,300,10752000
01/24/2019,ProShares RAFI Long/Short,RALS,35.87,35.9,-0.08357,-0.03,300,10761000
01/23/2019,ProShares RAFI Long/Short,RALS,35.9,35.9,0.00000,0,300,10770000
01/22/2019,ProShares RAFI Long/Short,RALS,35.9,35.87,0.08364,0.03,300,10770000
01/18/2019,ProShares RAFI Long/Short,RALS,35.87,35.86,0.02789,0.01,300,10761000
01/17/2019,ProShares RAFI Long/Short,RALS,35.86,35.87,-0.02788,-0.01,300,10758000
01/16/2019,ProShares RAFI Long/Short,RALS,35.87,35.85,0.05579,0.02,300,10761000
01/15/2019,ProShares RAFI Long/Short,RALS,35.85,35.99,-0.38900,-0.14,300,10755000
01/14/2019,ProShares RAFI Long/Short,RALS,35.99,35.94,0.13912,0.05,300,10797000
01/11/2019,ProShares RAFI Long/Short,RALS,35.94,35.88,0.16722,0.06,300,10782000
01/10/2019,ProShares RAFI Long/Short,RALS,35.88,35.89,-0.02786,-0.01,300,10764000
01/09/2019,ProShares RAFI Long/Short,RALS,35.89,35.91,-0.05569,-0.02,300,10767000
01/08/2019,ProShares RAFI Long/Short,RALS,35.91,35.94,-0.08347,-0.03,250,8977500
01/07/2019,ProShares RAFI Long/Short,RALS,35.94,35.97,-0.08340,-0.03,250,8985000
01/04/2019,ProShares RAFI Long/Short,RALS,35.97,36.09,-0.33250,-0.12,250,8992500
01/03/2019,ProShares RAFI Long/Short,RALS,36.09,35.88,0.58528,0.21,250,9022500
01/02/2019,ProShares RAFI Long/Short,RALS,35.88,35.8,0.22346,0.08,250,8970000
