Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares VIX Short-Term Futures ETF,VIXY,24.28208646,24.65558146,-1.51485,-0.373495,8401.32,204001505.77186782
03/12/2019,ProShares VIX Short-Term Futures ETF,VIXY,24.65558129,25.15911029,-2.00138,-0.503529,7401.32,182483772.94655893
03/11/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.15910993,27.08507193,-7.11079,-1.925962,7051.32,177404859.55427781
03/08/2019,ProShares VIX Short-Term Futures ETF,VIXY,27.08507188,26.99713288,0.32573,0.087939,6776.32,183537033.02666596
03/07/2019,ProShares VIX Short-Term Futures ETF,VIXY,26.99713239,26.21146639,2.99741,0.785666,7151.32,193065051.81185763
03/06/2019,ProShares VIX Short-Term Futures ETF,VIXY,26.21146683,25.44244683,3.02259,0.76902,7151.32,187446508.33631511
03/05/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.44244638,25.11716838,1.29504,0.325278,7026.32,178766693.52138246
03/04/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.11716802,24.55722502,2.28016,0.559943,6726.32,168946034.24478234
03/01/2019,ProShares VIX Short-Term Futures ETF,VIXY,24.55722546,25.65063246,-4.26269,-1.093407,6576.32,161496099.26543082
02/28/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.65063252,25.81251652,-0.62715,-0.161884,6576.32,168686690.70202884
02/27/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.81251662,25.89284662,-0.31024,-0.08033,6576.32,169751291.86088854
02/26/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.89284656,25.59232956,1.17425,0.300517,6576.32,170279567.01091952
02/25/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.59232982,25.03924382,2.20888,0.553086,6576.32,168303273.66487294
02/22/2019,ProShares VIX Short-Term Futures ETF,VIXY,25.03924342,26.11525942,-4.12026,-1.076016,6576.32,164666002.17008414
